Status,steps,lr,Nw,sf_f,sf_g,ell_f,ell_g,noise,W,fix_sf,fix_ell,fix_Z,delta_t
.,150,0.02,20,1.0,0.2,"[1.0, 1.0]",0.5,"[1.0, 1.0]",3,0,0,1,0.1
.,200,0.02,20,0.5,0.2,"[1.0, 1.0]",1.5,"[1.0, 1.0]",3,0,0,1,0.1
.,150,0.01,20,1.0,0.4,"[0.7, 0.7]",0.5,"[1.0, 1.0]",3,0,0,1,0.1
.,150,0.04,40,0.7,0.2,"[1.0, 1.0]",0.5,"[1.0, 1.0]",5,0,0,1,0.1
.,150,0.02,20,0.3,0.016,"[1.0, 1.0]",0.5,"[1.0, 1.0]",3,0,0,1,0.1
.,150,0.02,20,1.0,0.2,"[1.5, 1.5]",1.0,"[1.0, 1.0]",4,0,0,1,0.1
.,200,0.02,80,1.6,0.2,"[1.0, 1.0]",0.5,"[1.0, 1.0]",3,0,0,1,0.1
.,250,0.02,20,1.0,0.25,"[1.0, 1.0]",0.8,"[1.0, 1.0]",3,0,0,1,0.1
.,150,0.015,20,1.0,0.2,"[1.3, 1.3]",0.5,"[1.0, 1.0]",3,0,0,1,0.1
.,150,0.02,20,1.0,0.8,"[1.0, 1.0]",0.5,"[1.0, 1.0]",5,0,0,1,0.1
